rota_id,arac_id,tur_no,sinyal_id,istasyon_id,hat,istenen_kutu,tw_baslangic,tw_bitis,varis_dk,cikis_dk,teslim_durumu,gercek_gecikme_dk
ROTA_001,A1,1,S13_001,S13,Hat-3,1,0,46.0,7.0,15.0,ZAMANINDA_TESLİM,0.0
ROTA_002,A2,1,S1_001,S1,Hat-1,1,2,48.0,9.0,17.0,ZAMANINDA_TESLİM,0.0
ROTA_003,A3,1,S7_001,S7,Hat-2,1,5,50.0,12.0,20.0,ZAMANINDA_TESLİM,0.0
ROTA_003,A3,1,S24_001,S24,Hat-4,1,5,51.0,25.0,33.0,ZAMANINDA_TESLİM,0.0
ROTA_004,A4,1,S19_001,S19,Hat-4,1,7,53.0,14.0,22.0,ZAMANINDA_TESLİM,0.0
ROTA_005,A1,2,S6_001,S6,Hat-1,1,18,64.0,27.0,35.0,ZAMANINDA_TESLİM,0.0
ROTA_005,A1,2,S4_001,S4,Hat-1,1,8,54.0,40.0,48.0,ZAMANINDA_TESLİM,0.0
ROTA_005,A1,2,S12_001,S12,Hat-2,1,12,57.0,53.0,61.0,ZAMANINDA_TESLİM,0.0
ROTA_005,A1,2,S3_001,S3,Hat-1,1,8,54.0,66.0,74.0,GECİKMELİ_TESLİM,12.0
ROTA_005,A1,2,S15_001,S15,Hat-3,1,9,55.0,79.0,87.0,GECİKMELİ_TESLİM,24.0
ROTA_006,A2,2,S21_001,S21,Hat-4,1,17,63.0,29.0,37.0,ZAMANINDA_TESLİM,0.0
ROTA_006,A2,2,S18_001,S18,Hat-3,1,10,56.0,42.0,50.0,ZAMANINDA_TESLİM,0.0
ROTA_006,A2,2,S17_001,S17,Hat-3,1,18,64.0,55.0,63.0,ZAMANINDA_TESLİM,0.0
ROTA_006,A2,2,S9_001,S9,Hat-2,1,11,57.0,68.0,76.0,GECİKMELİ_TESLİM,11.0
ROTA_006,A2,2,S14_001,S14,Hat-3,1,15,61.0,81.0,89.0,GECİKMELİ_TESLİM,20.0
ROTA_007,A4,2,S20_001,S20,Hat-4,1,23,69.0,34.0,42.0,ZAMANINDA_TESLİM,0.0
ROTA_007,A4,2,S23_001,S23,Hat-4,1,24,70.0,47.0,55.0,ZAMANINDA_TESLİM,0.0
ROTA_007,A4,2,S5_001,S5,Hat-1,1,23,69.0,60.0,68.0,ZAMANINDA_TESLİM,0.0
ROTA_007,A4,2,S22_001,S22,Hat-4,1,16,61.0,73.0,81.0,GECİKMELİ_TESLİM,12.0
ROTA_007,A4,2,S2_001,S2,Hat-1,1,15,61.0,86.0,94.0,GECİKMELİ_TESLİM,25.0
ROTA_008,A3,2,S10_001,S10,Hat-2,1,28,74.0,45.0,53.0,ZAMANINDA_TESLİM,0.0
ROTA_008,A3,2,S8_001,S8,Hat-2,1,18,64.0,58.0,66.0,ZAMANINDA_TESLİM,0.0
ROTA_008,A3,2,S11_001,S11,Hat-2,1,22,68.0,71.0,79.0,GECİKMELİ_TESLİM,3.0
ROTA_009,A3,3,S18_002,S18,Hat-3,1,73,119.0,91.0,99.0,ZAMANINDA_TESLİM,0.0
ROTA_009,A3,3,S16_001,S16,Hat-3,2,47,92.0,104.0,112.0,GECİKMELİ_TESLİM,12.0
ROTA_009,A3,3,S24_002,S24,Hat-4,1,63,109.0,117.0,125.0,GECİKMELİ_TESLİM,8.0
ROTA_009,A3,3,S9_002,S9,Hat-2,1,74,120.0,130.0,138.0,GECİKMELİ_TESLİM,10.0
ROTA_009,A3,3,S2_002,S2,Hat-1,1,82,127.0,143.0,151.0,GECİKMELİ_TESLİM,16.0
ROTA_010,A1,3,S8_002,S8,Hat-2,1,89,134.0,99.0,107.0,ZAMANINDA_TESLİM,0.0
ROTA_010,A1,3,S6_002,S6,Hat-1,1,86,132.0,112.0,120.0,ZAMANINDA_TESLİM,0.0
ROTA_010,A1,3,S19_002,S19,Hat-4,1,65,111.0,125.0,133.0,GECİKMELİ_TESLİM,14.0
ROTA_010,A1,3,S13_002,S13,Hat-3,1,51,96.0,138.0,146.0,GECİKMELİ_TESLİM,42.0
ROTA_010,A1,3,S14_002,S14,Hat-3,1,81,126.0,151.0,159.0,GECİKMELİ_TESLİM,25.0
